,Date,Open,High,Low,Close,Adj Close,Volume,USDT Marketcap,USDT Volume,USDT Change
1623,2019-12-06,7450.56,7547.0,7392.18,7547.0,7547.0,18104466307,4288527224,20773814305,0.0012620488885639602
1624,2019-12-07,7547.27,7589.95,7525.71,7556.24,7556.24,15453520564,4285244210,17694479338,-0.0007655341399320781
1625,2019-12-08,7551.34,7634.61,7476.09,7564.35,7564.35,15409908086,4284190124,18021228132,-0.0002459803801939664
1626,2019-12-09,7561.8,7618.09,7365.99,7400.9,7400.9,17872021272,4288018633,20265072716,0.0008936365775535915
1627,2019-12-10,7397.13,7424.02,7246.04,7278.12,7278.12,18249031195,4287290646,19627445983,-0.00016977234996073953
1628,2019-12-11,7277.2,7324.16,7195.53,7217.43,7217.43,16350490689,4285078168,18295188578,-0.000516055052638964
1629,2019-12-12,7216.74,7266.64,7164.74,7243.13,7243.13,18927080224,4291936960,20234407853,0.001600622376324301
1630,2019-12-13,7244.66,7293.56,7227.12,7269.68,7269.68,17125736940,4285342719,19210398968,-0.0015364254091932983
1631,2019-12-14,7268.9,7308.84,7097.21,7124.67,7124.67,17137029730,4287222687,20532566791,0.0004386972345675755
1632,2019-12-15,7124.24,7181.08,6924.38,7152.3,7152.3,16881129804,4285886684,19531688421,-0.0003116243539322827
1633,2019-12-16,7153.66,7171.17,6903.68,6932.48,6932.48,20213265950,4291385778,25604257514,0.0012830703202044713
1634,2019-12-17,6931.32,6964.08,6587.97,6640.52,6640.52,22363804217,4297263155,29628496619,0.0013695755413392074
1635,2019-12-18,6647.7,7324.98,6540.05,7276.8,7276.8,31836522778,4294101801,39441541698,-0.0007356668386300225
1636,2019-12-19,7277.59,7346.6,7041.38,7202.84,7202.84,25904604416,4290171199,25115083576,-0.0009153490490338978
1637,2019-12-20,7208.64,7257.92,7086.12,7218.82,7218.82,22633815180,4292182605,24999882712,0.0004688404976633809
1638,2019-12-21,7220.59,7223.23,7112.74,7191.16,7191.16,19312552168,4291227631,19640631770,-0.0002224914659706423
1639,2019-12-22,7191.19,7518.03,7167.18,7511.59,7511.59,23134537956,4299511702,26319649536,0.0019304664567676433
1640,2019-12-23,7508.9,7656.18,7326.19,7355.63,7355.63,27831788041,4295666750,31581344213,-0.0008942764356733024
1641,2019-12-24,7354.39,7535.72,7269.53,7322.53,7322.53,22991622105,4288724781,27670400827,-0.0016160399314029128
1642,2019-12-25,7325.76,7357.02,7220.99,7275.16,7275.16,21559505149,4288721465,25299966599,-7.731902067487084e-07
1643,2019-12-26,7274.8,7388.3,7200.39,7238.97,7238.97,22787010034,4289428178,26597921313,0.00016478407510667203
1644,2019-12-27,7238.14,7363.53,7189.93,7290.09,7290.09,22777360996,4291565866,27571086947,0.0004983619986840271
1645,2019-12-28,7289.03,7399.04,7286.91,7317.99,7317.99,21365673026,4285608435,24623175200,-0.0013881718668697918
1646,2019-12-29,7317.65,7513.95,7279.87,7422.65,7422.65,22445257702,4287781029,25074340447,0.000506951120932353
1647,2019-12-30,7420.27,7454.82,7276.31,7293.0,7293.0,22874131672,4281011670,25345399271,-0.00157875576066413
1648,2019-12-31,7294.44,7335.29,7169.78,7193.6,7193.6,21167946112,4285941694,23700467688,0.0011516025603359736
1649,2020-01-01,7194.89,7254.33,7174.94,7200.17,7200.17,18565664997,4286266485,20511330406,7.578054560442027e-05
1650,2020-01-02,7202.55,7212.16,6935.27,6985.47,6985.47,20802083465,4288898575,22785123515,0.000614075211891496
1651,2020-01-03,6984.43,7413.72,6915.0,7344.88,7344.88,28111481032,4283023028,34359766805,-0.001369943097803361
1652,2020-01-04,7345.38,7427.39,7309.51,7410.66,7410.66,18444271275,4287220840,23242310022,0.0009801049334914325
1653,2020-01-05,7410.45,7544.5,7400.54,7411.32,7411.32,19725074095,4281391701,25499195568,-0.001359654474902161
