Date,Open,High,Low,Close,Adj Close,Volume
Jul 12 2017,2332.77,2423.71,2275.14,2398.84,2398.84,1117410048
Jul 11 2017,2385.89,2413.47,2296.81,2337.79,2337.79,1329760000
Jul 10 2017,2525.25,2537.16,2321.13,2372.56,2372.56,1111200000
Jul 09 2017,2572.61,2635.49,2517.59,2518.44,2518.44,527856000
Jul 08 2017,2520.27,2571.34,2492.31,2571.34,2571.34,733329984
Jul 07 2017,2608.59,2916.14,2498.87,2518.66,2518.66,917411968
Jul 06 2017,2608.10,2616.72,2581.69,2608.56,2608.56,761956992
Jul 05 2017,2602.87,2622.65,2538.55,2601.99,2601.99,941566016
Jul 04 2017,2561.00,2631.59,2559.35,2601.64,2601.64,985516032
Jul 03 2017,2498.56,2595.00,2480.47,2564.06,2564.06,964112000
Jul 02 2017,2436.40,2514.28,2394.84,2506.47,2506.47,803747008
Jul 01 2017,2492.60,2515.27,2419.23,2434.55,2434.55,779913984
Jun 30 2017,2539.24,2559.25,2478.43,2480.84,2480.84,860273024
Jun 29 2017,2567.56,2588.83,2510.48,2539.32,2539.32,949979008
Jun 28 2017,2553.03,2603.98,2484.42,2574.79,2574.79,1183869952
Jun 27 2017,2478.45,2552.45,2332.99,2552.45,2552.45,1489789952
Jun 26 2017,2590.57,2615.25,2376.29,2478.45,2478.45,1663280000
Jun 25 2017,2607.25,2682.26,2552.12,2589.41,2589.41,1161100032
Jun 24 2017,2738.52,2757.94,2583.19,2608.72,2608.72,982750016
Jun 23 2017,2707.34,2765.17,2706.37,2744.91,2744.91,961318976
Jun 22 2017,2691.03,2723.74,2642.36,2705.41,2705.41,1097939968
Jun 21 2017,2709.43,2772.01,2660.40,2689.10,2689.10,1626579968
Jun 20 2017,2591.26,2763.45,2589.82,2721.79,2721.79,1854189952
Jun 19 2017,2549.03,2662.85,2549.03,2589.60,2589.60,1446840064
Jun 18 2017,2655.35,2662.10,2516.33,2548.29,2548.29,1178659968
Jun 17 2017,2514.01,2685.19,2484.96,2655.88,2655.88,1534509952
Jun 16 2017,2469.57,2539.92,2385.15,2518.56,2518.56,1195190016
